学期,科目番号,科目名称,履修者数,回答者数,問1,問2,問3,問4,問5,問6,問7,問8,問9,問10,問11,問12,問13,問14,問15,問16,問17
秋,1320043,情報リテラシ実習,25,23,3.63,3.45,3.06,2.89,1.00,1.00,1.78,2.52,2.91,3.52,3.48,3.27,3.52,3.05,3.32,3.32,2.81
秋,GA10101,情報社会と法制度,180,142,3.54,3.41,3.24,3.26,1.49,1.09,1.42,2.84,2.56,3.38,2.67,3.25,3.29,2.93,3.19,3.28,2.83
秋,GA10201,知的財産概論,178,93,3.47,3.31,3.25,3.28,1.33,2.14,1.51,2.94,2.70,3.33,3.02,3.15,3.16,2.83,3.00,3.15,2.89
秋,GA40403,ビジネスシステムデザインB,19,13,3.46,3.25,3.23,3.38,1.00,3.00,2.46,3.23,3.38,3.18,3.46,3.15,3.31,3.08,3.08,3.46,3.31
春,GE10101,知識情報概論,133,106,3.41,3.19,2.98,3.05,1.07,1.21,1.14,2.59,2.07,3.10,2.97,3.02,3.07,2.58,2.52,2.93,2.72
秋,GE10201,哲学,128,88,3.43,3.19,3.04,3.15,1.03,1.21,1.43,3.01,2.76,3.32,2.75,2.97,3.06,3.22,2.80,3.09,2.86
春,GE10301,情報基礎,126,120,3.74,3.67,3.54,3.58,1.13,1.20,1.20,3.09,2.97,3.53,3.34,3.58,3.58,3.59,3.45,3.51,3.36
春,GE10413,情報基礎実習-1,63,56,3.62,3.42,3.35,3.32,1.07,1.27,1.18,2.93,3.73,3.47,3.38,3.36,3.39,3.20,3.16,3.51,3.04
春,GE10423,情報基礎実習-2,58,51,3.71,3.44,3.32,3.47,1.02,1.00,1.02,2.88,3.73,3.38,3.29,3.35,3.50,2.98,3.16,3.52,3.04
秋,GE10612,プログラミング演習I-1,56,39,3.67,3.62,3.21,3.39,1.00,1.03,1.38,2.85,3.08,3.50,3.49,3.46,3.49,3.20,2.97,3.18,2.89
秋,GE10622,プログラミング演習I-2,57,32,3.63,3.43,3.38,3.35,1.00,1.06,1.48,2.68,2.97,3.39,3.34,3.03,3.25,2.82,2.97,3.34,3.22
秋,GE10712,プログラミング演習II-1,56,21,2.31,1.94,2.58,2.43,1.00,1.00,1.24,2.76,3.75,2.42,1.75,2.25,2.65,2.16,2.30,2.80,2.35
秋,GE10722,プログラミング演習II-2,55,23,2.59,2.20,2.84,2.94,1.00,1.04,1.30,3.00,3.70,2.79,1.95,2.48,2.73,2.38,2.57,3.22,2.86
春,GE10732,プログラミング演習II-3,18,6,3.00,3.17,2.67,3.33,1.00,3.00,1.33,2.67,2.83,3.17,3.17,3.17,3.17,3.17,2.83,3.00,2.33
春,GE10801,情報数学,110,93,3.62,3.51,3.44,3.58,1.02,1.04,1.20,2.93,2.86,3.28,3.52,3.48,3.54,3.46,3.30,3.47,3.21
秋,GE10911,統計,122,73,3.33,3.11,3.06,3.11,1.05,1.16,1.82,2.53,2.72,3.09,2.87,3.04,3.03,3.00,2.53,2.94,2.64
春,GE11012,知識情報演習I-1,67,32,3.59,3.61,3.54,3.56,1.06,2.16,1.25,2.94,3.16,3.50,3.50,3.44,3.47,3.37,3.10,3.48,3.19
春,GE11022,知識情報演習I-2,64,37,3.68,3.56,3.39,3.53,1.11,2.14,1.11,3.00,2.97,3.47,3.51,3.43,3.47,3.51,3.16,3.38,3.32
秋,GE11112,知識情報演習II-1,66,25,3.72,3.75,3.55,3.70,1.04,2.12,1.20,2.80,3.36,3.30,3.52,3.44,3.54,3.21,3.33,3.54,3.33
